experiment_number;batch_size;learning_rate;weight_decay;gamma;entropy;distill
1;8;1,00E-05;0;1;5,00E-02;1
2;8;2,00E-05;0,01;0,1;1,00E-01;2
3;8;3,00E-05;0,1;0,01;5,00E-01;3
4;8;4,00E-05;0;0,01;1,00E+00;4
5;8;1,00E-05;0,01;1;5,00E+00;5
6;8;2,00E-05;0,1;0,1;1,00E+01;4
7;8;3,00E-05;0;0,1;1,00E+00;5
8;8;4,00E-05;0,01;0,01;1,00E-01;1
9;8;1,00E-05;0,1;1;5,00E-01;3
10;8;2,00E-05;0;1;5,00E+00;2
11;8;3,00E-05;0,01;0,1;1,00E+01;3
12;8;4,00E-05;0,1;0,01;5,00E-02;1
13;8;1,00E-05;0;0,01;5,00E-02;5
14;8;2,00E-05;0,01;1;1,00E-01;4
15;8;3,00E-05;0,1;0,1;5,00E-01;2
16;8;4,00E-05;0;0,1;1,00E+00;1
17;8;1,00E-05;0,01;0,01;5,00E+00;2
18;8;2,00E-05;0,1;1;1,00E+01;3
19;8;3,00E-05;0;1;1,00E+00;4
20;8;4,00E-05;0,01;0,1;1,00E-01;5
21;8;1,00E-05;0,1;0,01;5,00E-01;4
22;8;2,00E-05;0;0,01;5,00E+00;5
23;8;3,00E-05;0,01;1;1,00E+01;1
24;8;4,00E-05;0,1;0,1;5,00E-02;3
25;8;1,00E-05;0;0,1;5,00E-02;2
26;16;2,00E-05;0,01;0,01;1,00E-01;3
27;16;3,00E-05;0,1;1;5,00E-01;1
28;16;4,00E-05;0;1;1,00E+00;5
29;16;1,00E-05;0,01;0,1;5,00E+00;4
30;16;2,00E-05;0,1;0,01;1,00E+01;2
31;16;3,00E-05;0;0,01;1,00E+00;1
32;16;4,00E-05;0,01;1;1,00E-01;2
33;16;1,00E-05;0,1;0,1;5,00E-01;3
34;16;2,00E-05;0;0,1;5,00E+00;4
35;16;3,00E-05;0,01;0,01;1,00E+01;5
36;16;4,00E-05;0,1;1;5,00E-02;4
37;16;1,00E-05;0;1;5,00E-02;5
38;16;2,00E-05;0,01;0,1;1,00E-01;1
39;16;3,00E-05;0,1;0,01;5,00E-01;3
40;16;4,00E-05;0;0,01;1,00E+00;2
41;16;1,00E-05;0,01;1;5,00E+00;3
42;16;2,00E-05;0,1;0,1;1,00E+01;1
43;16;3,00E-05;0;0,1;1,00E+00;5
44;16;4,00E-05;0,01;0,01;1,00E-01;4
45;16;1,00E-05;0,1;1;5,00E-01;2
46;16;2,00E-05;0;1;5,00E+00;1
47;16;3,00E-05;0,01;0,1;1,00E+01;2
48;16;4,00E-05;0,1;0,01;5,00E-02;3
49;16;1,00E-05;0;0,01;5,00E-02;4
50;16;2,00E-05;0,01;1;1,00E-01;5
51;32;3,00E-05;0,1;0,1;5,00E-01;4
52;32;4,00E-05;0;0,1;1,00E+00;5
53;32;1,00E-05;0,01;0,01;5,00E+00;1
54;32;2,00E-05;0,1;1;1,00E+01;3
55;32;3,00E-05;0;1;1,00E+00;2
56;32;4,00E-05;0,01;0,1;1,00E-01;3
57;32;1,00E-05;0,1;0,01;5,00E-01;1
58;32;2,00E-05;0;0,01;5,00E+00;5
59;32;3,00E-05;0,01;1;1,00E+01;4
60;32;4,00E-05;0,1;0,1;5,00E-02;2
61;32;1,00E-05;0;0,1;5,00E-02;1
62;32;2,00E-05;0,01;0,01;1,00E-01;2
63;32;3,00E-05;0,1;1;5,00E-01;3
64;32;4,00E-05;0;1;1,00E+00;4
65;32;1,00E-05;0,01;0,1;5,00E+00;5
66;32;2,00E-05;0,1;0,01;1,00E+01;4
67;32;3,00E-05;0;0,01;1,00E+00;5
68;32;4,00E-05;0,01;1;1,00E-01;1
69;32;1,00E-05;0,1;0,1;5,00E-01;3
70;32;2,00E-05;0;0,1;5,00E+00;2
71;32;3,00E-05;0,01;0,01;1,00E+01;3
72;32;4,00E-05;0,1;1;5,00E-02;1
73;32;1,00E-05;0;1;5,00E-02;5
74;32;2,00E-05;0,01;0,1;1,00E-01;4
75;32;3,00E-05;0,1;0,01;5,00E-01;2
76;64;4,00E-05;0;0,01;1,00E+00;1
77;64;1,00E-05;0,01;1;5,00E+00;2
78;64;2,00E-05;0,1;0,1;1,00E+01;3
79;64;3,00E-05;0;0,1;1,00E+00;4
80;64;4,00E-05;0,01;0,01;1,00E-01;5
81;64;1,00E-05;0,1;1;5,00E-01;4
82;64;2,00E-05;0;1;5,00E+00;5
83;64;3,00E-05;0,01;0,1;1,00E+01;1
84;64;4,00E-05;0,1;0,01;5,00E-02;3
85;64;1,00E-05;0;0,01;5,00E-02;2
86;64;2,00E-05;0,01;1;1,00E-01;3
87;64;3,00E-05;0,1;0,1;5,00E-01;1
88;64;4,00E-05;0;0,1;1,00E+00;5
89;64;1,00E-05;0,01;0,01;5,00E+00;4
90;64;2,00E-05;0,1;1;1,00E+01;2
91;64;3,00E-05;0;1;1,00E+00;1
92;64;4,00E-05;0,01;0,1;1,00E-01;2
93;64;1,00E-05;0,1;0,01;5,00E-01;3
94;64;2,00E-05;0;0,01;5,00E+00;4
95;64;3,00E-05;0,01;1;1,00E+01;5
96;64;4,00E-05;0,1;0,1;5,00E-02;4
97;64;1,00E-05;0;0,1;5,00E-02;5
98;64;2,00E-05;0,01;0,01;1,00E-01;1
99;64;3,00E-05;0,1;1;5,00E-01;3
100;64;4,00E-05;0;1;1,00E+00;2
