;experiment_number;batch_size;learning_rate;weight_decay;gamma;entropy;distill;dataset;perm_epoch
0;1;8;1e-05;0.01;0.1;0.05;1;rte;1
1;2;8;2e-05;0.01;0.1;0.1;2;rte;2
2;3;8;3e-05;0.01;0.1;0.5;3;rte;3
3;4;8;4e-05;0.01;0.1;1.0;4;rte;4
4;5;8;1e-05;0.01;0.1;5.0;5;rte;5
5;6;8;2e-05;0.01;0.1;10.0;4;rte;6
6;7;8;3e-05;0.01;0.1;1.0;5;rte;7
7;8;8;4e-05;0.01;0.1;0.1;1;rte;8
8;9;8;1e-05;0.01;0.1;0.5;3;rte;9
9;10;8;2e-05;0.01;0.1;5.0;2;rte;10
10;11;8;3e-05;0.01;0.1;10.0;3;rte;1
11;12;8;4e-05;0.01;0.1;0.05;1;rte;2
12;13;8;1e-05;0.01;0.1;0.05;5;rte;3
13;14;8;2e-05;0.01;0.1;0.1;4;rte;4
14;15;8;3e-05;0.01;0.1;0.5;2;rte;5
15;16;8;4e-05;0.01;0.1;1.0;1;rte;6
16;17;8;1e-05;0.01;0.1;5.0;2;rte;7
17;18;8;2e-05;0.01;0.1;10.0;3;rte;8
18;19;8;3e-05;0.01;0.1;1.0;4;rte;9
19;20;8;4e-05;0.01;0.1;0.1;5;rte;10
20;21;8;1e-05;0.01;0.1;0.5;4;rte;1
21;22;8;2e-05;0.01;0.1;5.0;5;rte;2
22;23;8;3e-05;0.01;0.1;10.0;1;rte;3
23;24;8;4e-05;0.01;0.1;0.05;3;rte;4
24;25;8;1e-05;0.01;0.1;0.05;2;rte;5
25;26;8;2e-05;0.01;0.1;0.1;3;rte;6
26;27;8;3e-05;0.01;0.1;0.5;1;rte;7
27;28;8;4e-05;0.01;0.1;1.0;5;rte;8
28;29;8;1e-05;0.01;0.1;5.0;4;rte;9
29;30;8;2e-05;0.01;0.1;10.0;2;rte;10
30;31;8;3e-05;0.01;0.1;1.0;1;rte;1
31;32;8;4e-05;0.01;0.1;0.1;2;rte;2
32;33;8;1e-05;0.01;0.1;0.5;3;rte;3
33;34;8;2e-05;0.01;0.1;5.0;4;rte;4
34;35;8;3e-05;0.01;0.1;10.0;5;rte;5
35;36;8;4e-05;0.01;0.1;0.05;4;rte;6
36;37;8;1e-05;0.01;0.1;0.05;5;rte;7
37;38;8;2e-05;0.01;0.1;0.1;1;rte;8
38;39;8;3e-05;0.01;0.1;0.5;3;rte;9
39;40;8;4e-05;0.01;0.1;1.0;2;rte;10
40;41;8;1e-05;0.01;0.1;5.0;3;rte;1
41;42;8;2e-05;0.01;0.1;10.0;1;rte;2
42;43;8;3e-05;0.01;0.1;1.0;5;rte;3
43;44;8;4e-05;0.01;0.1;0.1;4;rte;4
44;45;8;1e-05;0.01;0.1;0.5;2;rte;5
45;46;8;2e-05;0.01;0.1;5.0;1;rte;6
46;47;8;3e-05;0.01;0.1;10.0;2;rte;7
47;48;8;4e-05;0.01;0.1;0.05;3;rte;8
48;49;8;1e-05;0.01;0.1;0.05;4;rte;9
49;50;8;2e-05;0.01;0.1;0.1;5;rte;10
50;51;8;3e-05;0.01;0.1;0.5;4;rte;1
51;52;8;4e-05;0.01;0.1;1.0;5;rte;2
52;53;8;1e-05;0.01;0.1;5.0;1;rte;3
53;54;8;2e-05;0.01;0.1;10.0;3;rte;4
54;55;8;3e-05;0.01;0.1;1.0;2;rte;5
